"id","terminalName","lat","lng"
7,"A32000",42.353412,-71.044624
8,"A32001",42.353334,-71.137313
9,"A32002",42.351313,-71.116174
10,"A32003",42.350075,-71.105884
11,"A32004",42.338629,-71.1065
15,"A32005",42.361667,-71.13802
17,"A32006",42.365074,-71.119581
18,"A32007",42.36337,-71.129791
19,"A32008",42.347527,-71.105828
25,"A32009",42.341332,-71.076847
22,"A32010",42.352175,-71.055547
29,"A32011",42.363732,-71.124565
41,"A32012",42.352261,-71.123831
66,"A32017",42.348607,-71.13401
52,"B32000",42.348717,-71.085954
12,"B32002",42.335911,-71.088496
14,"B32003",42.337171,-71.102797
20,"B32004",42.35977,-71.051601
46,"B32005",42.343864,-71.085918
3,"B32006",42.340021,-71.100812
24,"B32007",42.351821,-71.045461
23,"B32008",42.359677,-71.059364
34,"B32009",42.346171,-71.099855
33,"B32010",42.349046,-71.096831
45,"B32011",42.344763,-71.09788
5,"B32012",42.341814,-71.090179
30,"B32013",42.334073,-71.105221
31,"B32014",42.348833,-71.041747
32,"B32015",42.343912,-71.102221
53,"B32016",42.350851,-71.089886
56,"B32017",42.3281898,-71.0833545
55,"B32018",42.347265,-71.088088
62,"B32019",42.340299,-71.109927
4,"C32000",42.345392,-71.069616
27,"C32001",42.331567,-71.094734
13,"C32002",42.334057,-71.07403
16,"C32003",42.347433,-71.076163
57,"C32004",42.340799,-71.081572
51,"C32005",42.3348756,-71.0790969
39,"C32006",42.338623,-71.074182
21,"C32007",42.345959,-71.082578
61,"C32008",42.348323,-71.082674
63,"C32009",42.344023,-71.057054
64,"C32010",42.3511,-71.0496
83,"C32011",42.325941,-71.065928
85,"C32012",42.330825,-71.057007
93,"C32013",42.320494,-71.051122
92,"C32014",42.311819,-71.035705
6,"D32000",42.361285,-71.06514
37,"D32001",42.357247,-71.146452
26,"D32002",42.341522,-71.068922
38,"D32003",42.366231,-71.060868
35,"D32004",42.354594,-71.05896
36,"D32005",42.349673,-71.077303
40,"D32006",42.363871,-71.050877
42,"D32007",42.352096,-71.070378
43,"D32008",42.357143,-71.050699
44,"D32009",42.360583,-71.056868
47,"D32010",42.362811,-71.056067
49,"D32011",42.351146,-71.066289
48,"D32012",42.356755,-71.055407
50,"D32013",42.350989,-71.073644
54,"D32014",42.354979,-71.063348
59,"D32015",42.351356,-71.059367
60,"D32016",42.360877,-71.07131
58,"D32017",42.355596,-71.07278
65,"D32018",42.3475,-71.0441
81,"D32019",42.352409,-71.062679
94,"D32020",42.375603,-71.064608
98,"D32021",42.371848,-71.060292
69,"K32001",42.341598,-71.123338
82,"K32002",42.333689,-71.120526
86,"K32003",42.332799,-71.116205
90,"M32001",42.3707,-71.07711
91,"M32002",42.366277,-71.09169
72,"M32003",42.362613,-71.084105
80,"M32005",42.362429,-71.090188
67,"M32006",42.3581,-71.093198
95,"M32007",42.372969,-71.094445
75,"M32009",42.363562,-71.10042
88,"M32010",42.374035,-71.101427
68,"M32011",42.36507,-71.1031
76,"M32012",42.366426,-71.105495
96,"M32013",42.373379,-71.111075
87,"M32014",42.366621,-71.114214
97,"M32015",42.369182,-71.117152
70,"M32016",42.372244,-71.121851
73,"M32017",42.373231,-71.120886
74,"M32018",42.373268,-71.118579
84,"M32019",42.366981,-71.076472
89,"M32020",42.379011,-71.119945
77,"S32001",42.386428,-71.096413
78,"S32002",42.379637,-71.095319
79,"S32003",42.378551,-71.106541
71,"S32004",42.383405,-71.107593
